iter	Passed	Remaining
586	1514	11389
587	1516	11376
588	1517	11364
589	1518	11351
590	1520	11342
591	1521	11331
592	1525	11337
593	1526	11325
594	1528	11314
595	1529	11302
596	1531	11291
597	1532	11279
598	1533	11268
599	1535	11262
600	1537	11252
601	1538	11241
602	1540	11231
603	1541	11219
604	1545	11229
605	1547	11222
606	1549	11213
607	1550	11202
608	1552	11192
609	1553	11182
610	1555	11174
611	1557	11165
612	1559	11161
613	1561	11151
614	1562	11143
615	1566	11146
616	1567	11135
617	1568	11125
618	1570	11114
619	1572	11107
620	1573	11098
621	1575	11088
622	1577	11082
623	1579	11075
624	1581	11070
625	1583	11060
626	1584	11050
627	1585	11039
628	1587	11034
629	1590	11029
630	1591	11019
631	1593	11010
632	1594	11003
633	1596	10995
634	1598	10984
635	1599	10974
636	1600	10963
637	1602	10957
638	1609	10986
639	1611	10977
640	1612	10967
641	1614	10959
642	1623	11002
643	1626	11002
644	1628	10992
645	1629	10984
646	1631	10974
647	1632	10965
648	1637	10977
649	1639	10971
650	1641	10967
651	1643	10962
652	1645	10956
653	1647	10947
654	1654	10975
655	1657	10973
656	1659	10971
657	1661	10963
658	1663	10956
659	1665	10948
660	1666	10941
661	1673	10963
662	1677	10975
663	1680	10973
664	1682	10970
665	1684	10962
666	1691	10988
667	1696	11000
668	1699	11001
669	1701	10995
670	1702	10985
671	1715	11050
672	1720	11060
673	1721	11052
674	1725	11053
675	1726	11046
676	1732	11063
677	1736	11070
678	1738	11062
679	1739	11053
680	1742	11054
681	1746	11060
682	1748	11051
683	1749	11041
684	1751	11031
685	1752	11021
686	1754	11014
687	1755	11005
688	1757	10995
689	1774	11084
690	1776	11076
691	1780	11083
692	1782	11075
693	1783	11068
694	1788	11081
695	1792	11086
696	1794	11078
697	1798	11083
698	1801	11082
699	1802	11074
700	1805	11070
701	1818	11131
702	1824	11154
703	1828	11160
704	1832	11163
705	1836	11167
706	1844	11201
707	1848	11203
708	1860	11260
709	1865	11272
710	1874	11307
711	1876	11300
712	1878	11292
713	1881	11294
714	1894	11352
715	1896	11347
716	1899	11346
717	1905	11365
718	1908	11363
719	1910	11359
720	1913	11356
721	1925	11410
722	1927	11402
723	1929	11394
724	1931	11387
725	1932	11378
726	1936	11381
727	1938	11376
728	1940	11368
729	1942	11360
730	1944	11354
731	1945	11346
732	1947	11335
733	1949	11329
734	1951	11325
735	1954	11325
736	1958	11326
737	1964	11342
738	1967	11342
739	1970	11345
740	1972	11338
741	1974	11330
742	1984	11368
743	1987	11368
744	1993	11383
745	2005	11435
746	2013	11466
747	2016	11462
748	2019	11459
749	2023	11467
750	2027	11470
751	2029	11463
752	2035	11479
753	2041	11493
754	2045	11501
755	2046	11491
756	2048	11481
757	2049	11472
758	2051	11463
759	2054	11460
760	2057	11460
761	2059	11452
762	2060	11443
763	2061	11432
764	2063	11421
765	2064	11411
766	2066	11402
767	2067	11392
768	2069	11383
769	2073	11393
770	2081	11419
771	2083	11410
772	2084	11400
773	2086	11393
774	2088	11383
775	2092	11391
776	2094	11383
777	2095	11373
778	2097	11363
779	2098	11354
780	2100	11345
781	2101	11336
782	2103	11328
783	2105	11322
784	2108	11323
785	2110	11316
786	2112	11310
787	2114	11303
788	2116	11294
789	2117	11284
790	2119	11278
791	2123	11283
792	2125	11276
793	2127	11267
794	2128	11258
795	2129	11249
796	2131	11240
797	2133	11232
798	2134	11223
799	2139	11231
800	2140	11222
801	2142	11215
802	2144	11209
803	2146	11200
804	2147	11191
805	2149	11186
806	2151	11181
807	2153	11174
808	2155	11167
809	2159	11169
810	2161	11162
811	2162	11154
812	2164	11145
813	2165	11137
814	2169	11137
815	2170	11129
816	2172	11120
817	2173	11113
818	2175	11105
819	2176	11096
820	2178	11087
821	2179	11079
822	2181	11072
823	2183	11064
824	2185	11057
825	2186	11048
826	2187	11040
827	2189	11030
828	2191	11024
829	2194	11023
830	2196	11020
831	2198	11012
832	2200	11007
833	2201	10998
834	2203	10989
835	2204	10980
836	2206	10972
837	2207	10962
838	2208	10953
839	2209	10944
840	2211	10935
841	2212	10926
842	2214	10920
843	2218	10921
844	2219	10914
845	2221	10906
846	2222	10897
847	2223	10886
848	2225	10882
849	2227	10874
850	2229	10868
851	2231	10864
852	2233	10860
853	2235	10851
854	2236	10843
855	2238	10834
856	2239	10826
857	2240	10817
858	2242	10809
859	2244	10803
860	2245	10796
861	2247	10790
862	2249	10783
863	2250	10774
864	2252	10767
865	2254	10761
866	2255	10752
867	2257	10744
868	2258	10736
869	2261	10733
870	2263	10730
871	2265	10722
872	2266	10714
873	2267	10706
874	2269	10698
875	2271	10691
876	2272	10683
877	2274	10676
878	2276	10672
879	2278	10667
880	2279	10659
881	2281	10651
882	2284	10649
883	2285	10641
884	2286	10633
885	2288	10625
886	2289	10618
887	2291	10611
888	2292	10603
889	2296	10605
890	2298	10600
891	2300	10593
892	2301	10585
893	2303	10578
894	2304	10570
895	2306	10564
896	2308	10561
897	2311	10557
898	2312	10549
899	2313	10541
900	2315	10533
901	2316	10525
902	2318	10518
903	2319	10510
904	2321	10504
905	2323	10497
906	2324	10490
907	2328	10492
908	2330	10487
909	2332	10481
910	2334	10477
911	2335	10470
912	2337	10462
913	2338	10455
914	2340	10448
915	2341	10441
916	2343	10436
917	2345	10428
918	2346	10420
919	2348	10412
920	2349	10404
921	2350	10396
922	2351	10387
923	2353	10382
924	2355	10378
925	2357	10373
926	2359	10368
927	2361	10363
928	2363	10357
929	2365	10351
930	2367	10346
931	2368	10340
932	2370	10333
933	2374	10335
