Região,Ano,Mês,Energia
Norte,2012,Fevereiro,2321771.54
Nordeste,2012,Fevereiro,6010436
Sudeste,2012,Fevereiro,19327465
Sul,2012,Fevereiro,6812782.48
Centro-Oeste,2012,Fevereiro,2415613
Brasil,2011,Fevereiro,35444916.66
Norte,2011,Fevereiro,2063281.6600000001
Nordeste,2011,Fevereiro,5502639
Sudeste,2011,Fevereiro,19218269
Sul,2011,Fevereiro,6504407
Centro-Oeste,2011,Fevereiro,2156320
Brasil,2010,Fevereiro,33729757.75
Norte,2010,Fevereiro,1976809.75
Nordeste,2010,Fevereiro,5589432
Sudeste,2010,Fevereiro,18113423
Sul,2010,Fevereiro,5979347
Centro-Oeste,2010,Fevereiro,2070746
Brasil,2009,Fevereiro,30495142.71
Norte,2009,Fevereiro,1804162
Nordeste,2009,Fevereiro,5098685
Sudeste,2009,Fevereiro,16190533
Sul,2009,Fevereiro,5465140
Centro-Oeste,2009,Fevereiro,1936622.71
Brasil,2008,Fevereiro,31730940.65
Norte,2008,Fevereiro,1836296
Nordeste,2008,Fevereiro,5284769.65
Sudeste,2008,Fevereiro,17088727
Sul,2008,Fevereiro,5689547
Centro-Oeste,2008,Fevereiro,1831601
Brasil,2007,Fevereiro,30324669
Norte,2007,Fevereiro,1752986
Nordeste,2007,Fevereiro,4883152
Sudeste,2007,Fevereiro,16615359
Sul,2007,Fevereiro,5351937
Centro-Oeste,2007,Fevereiro,1721235
Brasil,2006,Fevereiro,29383486.499999993
Norte,2006,Fevereiro,1646351.9
Nordeste,2006,Fevereiro,4704041.08
Sudeste,2006,Fevereiro,16178817.62
Sul,2006,Fevereiro,5187222.33
Centro-Oeste,2006,Fevereiro,1667053.57
Brasil,2005,Fevereiro,27838480.970000003
Norte,2005,Fevereiro,1619124.37
Nordeste,2005,Fevereiro,4526038.109999999
Sudeste,2005,Fevereiro,15157054.859999998
Sul,2005,Fevereiro,4966585.859999999
Centro-Oeste,2005,Fevereiro,1569677.7699999998
Brasil,2004,Fevereiro,26508170.77
Norte,2004,Fevereiro,1507448.5899999999
Nordeste,2004,Fevereiro,4139767.9999999995
Sudeste,2004,Fevereiro,14714713.51
Sul,2004,Fevereiro,4690227.859999999
Centro-Oeste,2004,Fevereiro,1456012.8099999998
Brasil,2024,Março,47827070.53890002
Norte,2024,Março,3466495.4699999997
Nordeste,2024,Março,8208486.8100000005
Sudeste,2024,Março,23022452.700000007
Sul,2024,Março,9355275.2189
Centro-Oeste,2024,Março,3774360.34
Brasil,2023,Março,45714391.09099998
Norte,2023,Março,3327716.43
Nordeste,2023,Março,7914538.819999999
Sudeste,2023,Março,22083389.151
Sul,2023,Março,8953570.25
Centro-Oeste,2023,Março,3435176.440000001
Brasil,2022,Março,44674065.28000001
Norte,2022,Março,3003595.52
Nordeste,2022,Março,7459576.670000001
Sudeste,2022,Março,22069843.080000006
Sul,2022,Março,8768559.93
Centro-Oeste,2022,Março,3372490.08
Brasil,2021,Março,43661452.061
Norte,2021,Março,2891450.83
Nordeste,2021,Março,7244997.409999999
Sudeste,2021,Março,21988991.290999994
Sul,2021,Março,8257890.369999999
Centro-Oeste,2021,Março,3278122.1599999997
Brasil,2020,Março,41146409.01900001
Norte,2020,Março,2815284.1799999997
Nordeste,2020,Março,6937722.5
Sudeste,2020,Março,20221091.040000003
Sul,2020,Março,7950412.569
Centro-Oeste,2020,Março,3221898.73
Brasil,2019,Março,41155262.42000001
Norte,2019,Março,2600590.65
Nordeste,2019,Março,7056848.88
Sudeste,2019,Março,20626329.709999993
Sul,2019,Março,7767428.41
Centro-Oeste,2019,Março,3104064.77
Brasil,2018,Março,41112932.61999999
Norte,2018,Março,2868573.59
Nordeste,2018,Março,6587721.199999999
Sudeste,2018,Março,20852952.930000003
Sul,2018,Março,7771959.059999999
Centro-Oeste,2018,Março,3031725.84
Brasil,2017,Março,40552671.160000004
Norte,2017,Março,2795464
Nordeste,2017,Março,6796094.529999999
Sudeste,2017,Março,20172690.959999997
Sul,2017,Março,7845156.26
Centro-Oeste,2017,Março,2943265.41
Brasil,2016,Março,39451889.24
Norte,2016,Março,2863718
Nordeste,2016,Março,6799183.5
Sudeste,2016,Março,19611353.62
Sul,2016,Março,7259987.59
Centro-Oeste,2016,Março,2917646.53
Brasil,2015,Março,39765521.39
Norte,2015,Março,2709350
Nordeste,2015,Março,6848289.03
Sudeste,2015,Março,20150053.41
Sul,2015,Março,7278854
Centro-Oeste,2015,Março,2778974.95
